category1,category2,rank,price,Publisher,ISBN10,ISBN13,ASIN,OtherRanks
" Basic Sciences ",Pathophysiology,59,"$4.50 ","LWW; 1 edition (January 18, 2006)"," 1582556636"," 978-1582556635",,"#190,190 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,60,"$43.19 ","Elsevier; 6 edition (March 15, 2017)",,," B06XPJ64KX","#177,294 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,61,"$2.77 ","Saunders; 3 edition (July 28, 2009)"," 1416049304"," 978-1416049302",,"#192,043 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,62,"$108.96 ","Sinauer Associates is an imprint of Oxford University Press; 4 edition (April 18, 2016)"," 1605354716"," 978-1605354712",,"#192,506 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,63,"$42.47 ","Saunders; 4 edition (December 28, 2009)"," 1416062165"," 978-1416062165",,"#196,813 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,64,"$97.35 ","LWW; 5 edition (August 5, 2017)"," 1496310462"," 978-1496310460",,"#211,205 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,65,"$5.68 ","Saunders; 4 edition (February 16, 2009)"," 1416055436"," 978-1416055433",,"#217,526 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,66,"$19.54 ","McGraw-Hill Education / Medical; 1 edition (October 30, 2013)"," 0071772022"," 978-0071772020",,"#218,377 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,67,"$2.84 ","Lippincott Williams & Wilkins (September 1, 1998)"," 0397513763"," 978-0397513765",,"#219,687 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,68,"$1.15 ","Mosby; 4 edition (November 14, 2007)"," 0323049907"," 978-0323049900",,"#219,814 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,69,"$2.00 ","LWW (May 26, 1995)"," 0397513720"," 978-0397513727",,"#219,830 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,70,"$1.99 ","LWW (July 6, 1998)"," 0397515367"," 978-0397515363",,"#220,031 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,71,"$9.99 ",,,," B01MRU1QY0","#199,917 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,72,"$50.65 ","Routledge (November 6, 2003)"," 0415275504"," 978-0415275507",,"#220,932 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,73,"$62.00 ","McGraw-Hill Education / Medical; 7 edition (March 22, 2014)",,," B00IA4J8PQ","#206,501 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,74,"$123.30 ","Saunders; 1 edition (December 8, 2014)"," 145571139X"," 978-1455711390",,"#239,044 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,75,"$138.00 ","Saunders; 2 edition (December 8, 2014)"," 1455711403"," 978-1455711406",,"#243,235 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,76,"$31.02 ","McGraw-Hill Education / Medical; 2 edition (September 13, 2013)",,," B00D86FWX8","#220,660 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,77,"$35.29 ","LWW; 1 edition (July 14, 2010)",,," B00937EVJC","#225,475 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,78,"$14.99 ","LWW; 5 edition (November 3, 2010)"," 1605477230"," 978-1605477237",,"#263,308 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,79,"$124.55 ","Saunders; 5 edition (February 15, 2013)"," 1455733091"," 978-1455733095",,"#269,408 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,80,"$33.99 ","Saunders; 8th edition (June 11, 2009)"," 1416031219"," 978-1416031215",,"#279,509 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,81,"$31.79 ","Saunders/Elsevier; 8th edition (May 31, 2007)"," 1416029737"," 978-1416029731",,"#294,963 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,82,"$13.70 ","McGraw-Hill Education / Medical; 1 edition (April 28, 2014)"," 0071829164"," 978-0071829168",,"#300,672 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,83,"$62.96 ","McGraw-Hill Education / Medical; 5 edition (January 12, 2001)"," 0071346821"," 978-0071346825",,"#308,337 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,84,"$51.94 ","LWW; Fourth edition (March 28, 2013)"," 1451115687"," 978-1451115680",,"#313,305 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,85,"$1.99 ","McGraw-Hill Medical; 5 edition (November 4, 2005)"," 007144159X"," 978-0071441599",,"#321,712 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,86,"$22.55 ","LWW; Second edition (July 24, 2009)"," 1605472522"," 978-1605472522",,"#330,188 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,87,"$66.00 ","LWW; Third edition (August 27, 2016)"," 1496335864"," 978-1496335869",,"#332,503 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,88,"$4.00 ","Saunders; 1st edition (May 15, 2002)"," 1929007019"," 978-1929007011",,"#333,254 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,89,"$54.07 ","LWW; Third edition (January 15, 2010)"," 1605477664"," 978-1605477664",,"#333,522 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,90,"$32.87 ","Lippincott Williams & Wilkins (2008)",,," B00422SGDU","#346,664 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,91,"$1.95 ","Mosby; 6 edition (December 1, 2009)"," 0323067506"," 978-0323067508",,"#353,751 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,92,"$87.51 ","Cambridge University Press; 2 edition (June 13, 1999)"," 0521564387"," 978-0521564380",,"#359,973 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,93,"$31.78 ","Saunders; 2 edition (February 25, 2011)",,," B005430GA2","#293,621 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,94,"$35.05 ","McGraw-Hill Education / Medical; 2 edition (September 10, 2013)"," 0071774017"," 978-0071774017",,"#371,445 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,95,"$173.34 ","Mosby; 6 edition (April 29, 2016)"," 0323431259"," 978-0323431255",,"#374,347 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,96,"$89.59 ","Saunders; 9 edition (September 5, 2014)",,," B00LEDJK76","#306,841 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,97,"$192.96 ","Elsevier; 6 edition (September 7, 2015)"," 0323295444"," 978-0323295444",,"#392,998 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,98,"$119.00 ","Mosby; 6th edition (January 4, 2010)"," 032307362X"," 978-0323073622",,"#394,556 in Books (See Top 100 in Books)"
" Basic Sciences ",Pathophysiology,99,"$19.79 ","Elsevier; 2 edition (November 26, 2014)",,," B00QT83ONW","#317,302 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Pathophysiology,100,"$88.19 ","Mosby; 5 edition (December 27, 2013)",,," B00GBJ9WLM","#318,712 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,1,"$13.29 ","Touchstone; 1 edition (March 2, 2010)"," 1439190275"," 978-1439190272",,"#3,024 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,2,"$0.00 with Trial ","Foxtopus, Inc",,," B01NBSX68B",
" Basic Sciences ",Physiology,3,"$10.71 ","Little, Brown and Company; Reprint edition (January 1, 2013)"," 0316113514"," 978-0316113519",,"#4,889 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,4,"$18.58 ","Pearson; 2nd edition (October 3, 1999)"," 0321036638"," 978-0321036636",,"#5,830 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,5,"$14.00 ","Rodale Books (January 3, 2017)"," 1623366909"," 978-1623366902",,"#6,240 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,6,"$11.87 ","Greystone Books; 1 edition (May 24, 2015)"," 1771641495"," 978-1771641494",,"#6,241 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,7,"$30.34 ","LWW; 6 edition (May 22, 2014)"," 1451187955"," 978-1451187953",,"#6,371 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,8,"$6.98 ","Scholastic Press; Reprint edition (October 1, 1990)"," 0590414275"," 978-0590414272",,"#7,972 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,9,"$0.00 with Trial ","Audible Studios",,," B01BPKPQKM",
" Basic Sciences ",Physiology,10,"$15.46 ","Scientific Publishing,Csi; 1 edition (July 16, 2011)"," 1932922970"," 978-1932922974",,"#8,724 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,11,"$9.11 ","Rodale (January 3, 2017)",,," B01IIQQF2O","#13,134 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,12,"$20.43 ","LWW; Fifth edition (May 3, 2012)"," 145114623X"," 978-1451146233",,"#10,670 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,13,"$17.68 ","National Geographic (November 7, 2017)"," 142621846X"," 978-1426218460",,"#10,707 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,14,"$64.53 ","Churchill Livingstone; 3 edition (February 25, 2014)"," 070204654X"," 978-0702046544",,"#12,192 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,15,"$16.97 ","For Dummies; 3 edition (March 20, 2017)"," 1119345235"," 978-1119345237",,"#12,492 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,16,"$9.77 ","Little, Brown and Company; Reprint edition (December 30, 2014)"," 0316127361"," 978-0316127363",,"#12,936 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,17,"$171.93 ","Pearson; 10th edition (January 3, 2015)"," 0321927044"," 978-0321927040",,"#12,974 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,18,"$13.76 ","Penguin Books; Reprint edition (May 3, 2016)"," 0143108085"," 978-0143108085",,"#13,375 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,19,"$23.50 ","Warrior Science Publications; 3rd edition (October 1, 2008)"," 0964920549"," 978-0964920545",,"#14,014 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,20,"$19.98 ","Human Kinetics; 5th edition (November 15, 2011)"," 0736094091"," 978-0736094092",,"#14,207 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,21,"$62.45 ","Human Kinetics; 3 edition (March 25, 2013)"," 1450431658"," 978-1450431651",,"#14,979 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,22,"$55.97 ","Elsevier; 6 edition (May 22, 2017)"," 0323478816"," 978-0323478816",,"#15,329 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,23,"$15.50 ","McGraw-Hill Education; 1 edition (January 1, 2009)"," 0071597174"," 978-0071597173",,"#15,500 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,24,"$17.13 ","Human Kinetics; 1 edition (March 16, 2011)"," 1450400957"," 978-1450400954",,"#15,937 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,25,"$38.54 ","LWW; Fifth edition (March 19, 2014)"," 145119109X"," 978-1451191097",,"#17,042 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,26,"$14.44 ","Kaplan Publishing; 6 edition (July 4, 2017)"," 1506208525"," 978-1506208527",,"#17,216 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,27,"$8.15 ","Basic Health Publications, Inc.; 2nd ed. edition (March 15, 2014)"," 1591203740"," 978-1591203742",,"#17,567 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,28,"$16.20 ","Human Kinetics; 1 edition (March 12, 2010)"," 0736081933"," 978-0736081931",,"#18,830 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,29,"$28.97 ","Eastland Press; Revised edition (December 2, 2007)"," 0939616572"," 978-0939616572",,"#21,281 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,30,"$17.21 ","Human Kinetics; 1 edition (March 27, 2012)"," 1450419895"," 978-1450419895",,"#21,822 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,31,"$8.99 ","Penguin Books (April 21, 2015)",,," B00OZ0TOV2","#28,756 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,32,"$91.84 ","Saunders; 13 edition (June 3, 2015)"," 1455770051"," 978-1455770052",,"#23,689 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,33,"$10.87 ","Penguin Books (April 4, 2017)"," 0143108441"," 978-0143108443",,"#24,408 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,34,"$9.17 ","Greystone Books; 1 edition (May 24, 2015)",,," B00UY0EMX2","#31,523 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,35,"$14.17 ","Harper; Reprint edition (August 27, 2013)"," 0062320041"," 978-0062320049",,"#25,177 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,36,"$13.97 ","Barron's Educational Series; 3 edition (March 1, 2010)"," 0764144685"," 978-0764144684",,"#26,659 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,37,"$27.68 ","LWW; Fifth edition (February 19, 2014)"," 1451190239"," 978-1451190236",,"#27,272 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,38,"$26.60 ","F.A. Davis Company; 3 edition (October 12, 2016)"," 0803656580"," 978-0803656581",,"#28,653 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,39,"$8.45 ","Lyle Stuart (August 1, 2000)"," 0818403128"," 978-0818403125",,"#28,989 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,40,"$109.99 ","Pearson; 9th edition (January 16, 2012)"," 0321743261"," 978-0321743268",,"#29,329 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,41,"$81.93 ","Saunders; 3 edition (June 8, 2016)"," 1455758825"," 978-1455758821",,"#29,672 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,42,"$91.06 ","LWW; 7th edition (February 21, 2013)"," 1451119453"," 978-1451119459",,"#32,758 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,43,"$12.74 ","Harper Perennial; Later Printing Used edition (November 17, 1999)"," 0060930721"," 978-0060930721",,"#32,759 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,44,"$5.98 ","Apple Publishing; 3rd edition (December 1, 1994)"," 0969527217"," 978-0969527213",,"#33,321 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,45,"$22.78 ","Riverhead Books; 1 edition (January 8, 2002)"," 9781573229203"," 978-1573229203"," 1573229202","#33,358 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,46,"$39.97 ","LWW; Tenth edition (October 29, 2015)"," 149631011X"," 978-1496310118",,"#33,380 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,47,"$15.56 ","Running Press; 5/16/10 edition (June 15, 2010)"," 0762438029"," 978-0762438020",,"#33,516 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,48,"$18.36 ","Human Kinetics; 1 edition (July 28, 2016)",,," B01J8XXF4W","#40,951 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,49,"$0.00 with Trial ","Tantor Audio",,," B075LWZ8K3",
" Basic Sciences ",Physiology,50,"$9.27 ","Harper Wave; Reprint edition (February 16, 2016)"," 0062348221"," 978-0062348227",,"#36,053 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,51,"$0.00 with Trial ","Penguin Audio",,," B00V3UZA2Y",
" Basic Sciences ",Physiology,52,"$86.95 ","LWW; 8 edition (September 13, 2017)"," 1496347218"," 978-1496347213",,"#36,592 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,53,"$19.92 ","Fruitful Publications (September 25, 2017)"," 0993047815"," 978-0993047817",,"#37,247 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,54,"$27.84 ","Mosby; 2 edition (July 3, 2013)"," 0323187250"," 978-0323187251",,"#37,710 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,55,"$15.70 ","For Dummies; 2 edition (January 7, 2015)"," 1118940075"," 978-1118940075",,"#39,279 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,56,"$11.12 ","Great River Books; 2nd edition (September 18, 2007)"," 0915556375"," 978-0915556373",,"#39,642 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,57,"$116.99 ","LWW; Fifth edition (December 20, 2014)"," 1605475505"," 978-1605475509",,"#40,178 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,58,"$38.83 ","LWW; Second edition (September 14, 2011)"," 1451113846"," 978-1451113846",,"#40,673 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,59,"$12.49 ","McGraw-Hill Education; 1 edition (December 17, 2008)",,," B001NLL38S","#48,777 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,60,"$16.90 ","F.A. Davis Company; 4 edition (June 24, 2009)"," 0803620667"," 978-0803620667",,"#42,506 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,61,"$0.00 with Trial ","Dreamscape Media, LLC",,," B0721CSJT3",
" Basic Sciences ",Physiology,62,"$35.00 ","F.A. Davis Company; 7 edition (November 25, 2014)"," 0803639570"," 978-0803639577",,"#43,055 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,63,"$37.83 ","Human Kinetics; 4 edition (March 11, 2013)"," 1450434320"," 978-1450434324",,"#43,353 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,64,"$63.43 ","Saunders; 5 edition (December 18, 2013)"," 1455772348"," 978-1455772346",,"#43,589 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,65,"$6.95 ","QuickStudy; Lam Crds edition (August 26, 2003)"," 1572227915"," 978-1572227910",,"#43,632 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,66,"$12.99 ","National Geographic (November 7, 2017)",,," B01N1TQF8D","#51,494 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,67,"$94.25 ","McGraw-Hill Education; 14 edition (January 5, 2015)"," 0078024293"," 978-0078024290",,"#44,882 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,68,"$16.99 ","Human Kinetics; 1 edition (September 21, 2012)"," 1450434754"," 978-1450434751",,"#44,900 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,69,"$13.32 ","Chicago Review Press; 1 edition (July 1, 2009)"," 1556528299"," 978-1556528293",,"#45,179 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,70,"$11.67 ","Ecco (May 7, 2002)"," 0060958707"," 978-0060958701",,"#45,686 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,71,"$15.98 ","Penguin Books; Re-issue edition (August 7, 2013)"," 0143125184"," 978-0143125181",,"#45,938 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,72,"$5.99 ","HarperCollins; Let's-Read-and-Find-Out Science 2 edition (January 5, 2000)"," 0064451933"," 978-0064451932",,"#46,822 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,73,"$156.00 ","Pearson; 7 edition (January 9, 2015)"," 0321981227"," 978-0321981226",,"#47,124 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,74,"$24.93 ","Eastland Press; 1 edition (December 4, 2006)"," 0939616556"," 978-0939616558",,"#47,361 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,75,"$84.63 ","Delmar Cengage Learning; 6 edition (April 3, 2012)"," 0840022581"," 978-0840022585",,"#48,096 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,76,"$11.59 ","Scribe (May 7, 2015)",,," B00VGJMAHA","#55,539 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,77,"$17.67 ","Harper (July 4, 2017)"," 0062319817"," 978-0062319814",,"#49,203 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,78,"$37.99 ","Saunders; 3 edition (June 4, 2015)"," 1455770078"," 978-1455770076",,"#49,579 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,79,"$11.99 ","Harper Wave; Reprint edition (April 14, 2015)",,," B00KPVB4OA","#58,256 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,80,"$203.76 ","Pearson; 10 edition (January 25, 2014)"," 0321909070"," 978-0321909077",,"#51,368 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,81,"$19.95 ","CreateSpace Independent Publishing Platform; 3 edition (December 30, 2012)"," 1468175807"," 978-1468175806",,"#54,086 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,82,"$17.20 ","North Atlantic Books; 1 edition (November 11, 1996)"," 1556432283"," 978-1556432286",,"#54,351 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,83,"$83.74 ","Wiley; 10 edition (December 15, 2014)"," 1118583183"," 978-1118583180",,"#54,404 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,84,"$15.99 ","North Atlantic Books; 1 edition (September 6, 2011)"," 158394351X"," 978-1583943519",,"#54,535 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,85,"$260.06 ","Pearson; 7 edition (January 1, 2013)"," 0321822412"," 978-0321822413",,"#55,064 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,86,"$22.40 ","North Atlantic Books; 3 edition (February 16, 2016)"," 1623170206"," 978-1623170202",,"#56,825 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,87,"$14.16 ","SCB International; 3 edition (January 1, 2008)"," 0967398363"," 978-0967398365",,"#58,073 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,88,"$61.30 ","Churchill Livingstone; 3 edition (December 6, 2013)",,," B00HG1QFGE","#65,024 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,89,"$177.00 ","Pearson; 10 edition (January 6, 2011)"," 0321695984"," 978-0321695987",,"#58,581 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,90,"$65.08 ","Mosby; 3 edition (February 12, 2016)"," 0323298885"," 978-0323298889",,"#58,771 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,91,"$38.69 ","Lippincott Williams & Wilkins; Fourth edition (September 14, 2013)"," 1451173385"," 978-1451173383",,"#59,042 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,92,"$168.97 ","Benjamin Cummings; 9th edition (January 29, 2011)"," 0321709330"," 978-0321709332",,"#59,648 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,93,"$70.63 ","Human Kinetics; 6 edition (May 19, 2015)"," 1450477674"," 978-1450477673",,"#60,097 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,94,"$5.69 ","Pearson; 5 edition (January 1, 2013)"," 0321861582"," 978-0321861580",,"#60,479 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,95,"$13.00 ","For Dummies; 3 edition (March 8, 2017)",,," B06XJNTGXC","#67,094 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,96,"$9.99 ","Harper (July 4, 2017)",,," B01MECO99C","#67,290 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Physiology,97,"$133.43 ","McGraw-Hill Education; 7 edition (January 7, 2014)"," 0073403717"," 978-0073403717",,"#62,295 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,98,"$15.45 ","Delta; Revised, Updated edition (October 5, 2004)"," 0385337558"," 978-0385337557",,"#62,705 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,99,"$24.17 ","Cengage Learning; 9 edition (June 20, 2011)"," 084006845X"," 978-0840068453",,"#63,037 in Books (See Top 100 in Books)"
" Basic Sciences ",Physiology,100,"$15.62 ","University Of Chicago Press (October 24, 2016)"," 022638103X"," 978-0226381039",,"#63,372 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,1,"$6.69 ","Anchor; 1 edition (July 20, 1995)"," 0385479565"," 978-0385479561",,"#10,541 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,2,"$17.55 ","National Geographic (September 12, 2017)"," 1426217668"," 978-1426217661",,"#13,809 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,3,"$0.00 with Trial ","Simon & Schuster Audio",,," B004XZG1KG",
" Basic Sciences ",Virology,4,"$6.99 ","Anchor; Reprint edition (March 14, 2012)",,," B007DCU4IQ","#38,284 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Virology,5,"$85.11 ","ASM Press; 4 edition (August 17, 2015)"," 1555819516"," 978-1555819514",,"#46,489 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,6,"$0.00 with Trial ","Audible Studios",,," B00CTWW7BM",
" Basic Sciences ",Virology,7,"$9.99 ","W. W. Norton & Company; 1 edition (October 1, 2012)",,," B00856PC4K","#62,360 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Virology,8,"$13.99 ","National Geographic (September 12, 2017)",,," B01N1TQDSC","#65,968 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Virology,9,"$11.64 ","Anchor; Anchor Books ed. edition (June 15, 1999)"," 0385495226"," 978-0385495226",,"#62,341 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,10,"$298.55 ","LWW; Sixth, 2-volume set edition (June 25, 2013)"," 1451105630"," 978-1451105636",,"#102,268 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,11,"$9.86 ","Simon & Schuster; 1 edition (January 3, 2012)"," 1439158657"," 978-1439158654",,"#111,060 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,12,"$15.00 ","W. W. Norton & Company; 1 edition (September 9, 2013)"," 0393346617"," 978-0393346619",,"#113,110 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,13,"$18.09 ","Vintage Digital; 01 edition (June 1, 2017)",,," B01GH07CG6","#120,605 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Basic Sciences ",Virology,14,"$75.56 ","ASM Press; 4 edition (August 17, 2015)"," 1555819346"," 978-1555819347",,"#161,394 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,15,"$8.98 ","Sterling (January 6, 2015)"," 1454916656"," 978-1454916659",,"#201,340 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,16,"$20.07 ","Skyhorse Publishing; 1 edition (November 18, 2014)"," 1626365652"," 978-1626365650",,"#202,063 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,17,"$16.32 ","W. W. Norton & Company; 1 edition (October 1, 2012)"," 9780393066807"," 978-0393066807"," 0393066800","#222,249 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,18,"$15.63 ","Skyhorse Publishing; Reprint edition (February 21, 2017)"," 1510713948"," 978-1510713949",,"#226,502 in Books (See Top 100 in Books)"
" Basic Sciences ",Virology,19,"$0.00 with Trial ","Audible Studios",,," B00QXKR63K",
" Basic Sciences ",Virology,20,"$12.99 ","Simon & Schuster; 1 edition (January 11, 2011)",,," B0043RSJTK","#266,125 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
